name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
DISC1	5751	0	0	3	14	0	36	18	46	0	0	45	66	37	18	25	62	19	14	14	40	19	0	65
DISP1	6784	1	820	694	1240	802	546	890	1764	2056	1905	2323	3158	3064	2847	2947	3099	640	742	543	2601	3187	666	236
DISP2	4212	0	4	4	0	99	33	16	0	0	52	63	14	7	39	52	11	0	1	3	0	14	0	2
DISP3	5292	715	745	1132	1016	2621	2191	1484	1606	6338	2274	2064	985	1194	1769	933	1108	19	43	66	831	917	2989	1499
DIXDC1	6484	0	0	40	4	0	16	0	32	51	19	27	11	21	31	34	15	24	25	18	7	28	1	4
DKC1	2327	5262	3564	4654	3534	3659	3106	2547	4281	4803	7201	11688	16388	17264	23777	12212	15135	6230	5777	4000	965	752	1872	743
DKK1	954	0	235	359	446	291	318	416	322	268	322	388	344	434	349	325	469	312	297	222	275	352	248	152
DKK2	2114	0	0	20	1	31	35	1	48	57	54	59	63	124	162	97	151	205	160	147	79	118	98	3
DKK3	2574	843	898	1540	776	894	1213	1083	697	2735	1621	2096	2364	1317	2758	1984	2408	104	179	221	662	776	773	1096
DKK4	1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKKL1	1287	0	67	21	66	20	0	0	0	0	5	11	5	0	0	4	0	3	2	1	0	4	0	0
