name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
20ALPHA-HSD	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	1737	805	58	140	238	243	259	485	227	355	65	110	58	120	78	26	62	2	5	9	54	88	133	70
A1CF	9013	0	0	34	0	0	0	41	0	0	55	7	15	23	23	17	16	24	31	42	10	3	0	17
A2M	5077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	23
A2ML1	4648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
A3GALT2	2782	0	19	35	22	13	15	30	27	19	19	27	14	34	17	22	30	5	1	6	16	8	41	20
A4GALT	5703	91	40	44	46	193	26	30	12	43	6	40	20	38	7	18	3	115	269	198	39	33	256	160
A4GNT	5109	337	68	30	40	63	61	50	54	74	72	65	59	54	32	27	29	13	17	12	84	78	128	168
AAAS	1850	2975	9169	10380	13098	9435	12147	9936	12539	6658	10683	6404	9408	4667	5676	4245	5987	225	304	220	2990	4035	1899	2611
AACS	3633	2098	4492	3496	4441	1997	3583	3834	3969	4067	7201	4313	4570	1515	5283	1521	2769	258	337	359	375	644	2416	3064
AADAC	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	4474	0	0	11	0	0	1	0	30	0	10	9	6	11	6	3	5	4	0	1	15	6	0	0
AADACL4	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AADAT	1948	0	157	287	193	98	217	99	316	524	466	628	536	1049	1462	677	1362	554	607	447	235	306	258	143
AAED1	2712	0	61	134	51	24	47	34	38	0	65	72	70	138	179	77	136	176	174	199	146	94	96	98
AAGAB	3315	46	300	320	448	163	173	567	390	89	325	416	392	733	534	566	458	395	439	478	622	506	310	341
AAK1	11235	41	36	154	73	60	51	41	90	215	67	142	76	157	346	97	115	38	93	48	56	52	120	154
AAMDC	753	0	2	5	26	31	1	27	7	0	0	25	6	21	9	16	14	17	27	30	27	37	107	6
AAMP	1815	0	0	49	36	51	97	49	10	133	31	2	24	64	66	4	50	107	132	126	5	19	163	86
AANAT	1700	0	0	0	0	0	0	1	0	0	12	13	0	18	2	5	3	0	0	0	0	3	0	15
AAR2	2771	1	1507	989	1698	1773	1716	1446	1758	375	1688	1123	1016	429	836	434	659	8	13	18	103	184	5	700
AARD	1909	0	25	26	34	23	24	102	94	67	52	81	94	220	289	99	257	75	84	74	50	43	87	71
AARS2	3918	0	0	109	4	66	133	127	27	0	81	43	75	29	54	36	30	4	2	0	30	55	5	15
AARS	3757	237	390	3	37	121	137	194	417	8	648	473	441	309	337	89	198	13	25	17	54	44	27	12
AARSD1	3526	1516	2261	2460	2301	2092	2411	3146	2918	3319	2112	2785	2040	2662	1788	2428	2179	893	1002	961	1466	1538	1232	1089
AASDH	4068	475	573	529	352	526	160	185	269	187	332	105	159	166	265	95	108	2027	1908	1778	82	87	523	12
AASDHPPT	6708	4	29	37	23	30	20	16	68	69	30	38	67	90	48	31	48	215	203	223	50	46	4	22
AASS	8645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	0	0	0	0
AATF	2578	0	45	81	61	174	35	30	92	345	225	102	220	207	329	384	350	169	188	141	278	267	235	242
AATK	5631	0	218	162	147	359	259	205	157	171	238	132	174	141	200	81	91	4	10	4	69	72	107	367
ABAT	5430	386	252	434	453	607	281	638	484	476	547	384	360	422	472	263	393	52	87	103	638	597	1611	1296
ABCA10	6823	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0
ABCA1	11663	81	214	300	399	154	176	360	510	256	572	346	821	447	555	164	208	86	74	100	104	144	184	159
ABCA12	8022	0	13	31	54	35	31	2	0	0	15	0	52	17	72	37	19	157	199	116	17	32	58	28
ABCA13	8372	2	31	162	64	31	146	216	161	96	170	125	220	136	92	82	86	7	19	12	73	37	54	218
ABCA2	8962	0	55	51	205	145	108	117	2	33	27	85	23	87	91	21	119	0	7	5	57	83	105	39
ABCA3	6603	21	55	538	20	743	202	756	211	561	272	780	191	387	430	50	130	6	8	3	92	87	78	76
ABCA4	7708	421	1546	1432	1268	1473	1054	1589	1319	1392	1180	1309	1080	1243	861	989	942	855	714	730	1109	1091	1167	984
ABCA5	5292	15	47	68	55	81	96	48	148	78	235	85	256	111	268	41	94	281	350	294	45	66	213	47
ABCA6	6853	0	0	46	0	0	3	1	0	0	0	30	23	30	7	0	4	5	2	2	24	2	1	0
ABCA7	7545	0	301	289	148	101	278	392	253	1108	140	172	159	205	214	52	160	4	7	7	57	98	46	98
ABCA9	8393	0	4	1	6	1	12	23	10	110	0	18	6	22	25	4	14	9	10	3	5	5	0	5
ABCB10	4096	8587	2793	4323	4448	4465	2379	4265	2692	4514	4141	6205	9057	5231	5144	5110	3771	1755	1920	2120	3434	3108	2292	2464
ABCB11	6493	0	115	89	0	30	49	5	45	0	42	66	113	149	156	153	169	559	434	304	57	70	1	26
ABCB1	4460	4428	620	1028	940	1381	845	888	860	657	690	852	1115	770	1430	520	492	1812	2139	2134	187	360	1131	568
ABCB4	3997	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	7	4	13	13	1	0	0	0
ABCB5	4834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	3248	0	0	94	124	265	160	172	67	0	51	106	67	51	58	82	64	3	7	2	59	58	3	4
ABCB7	3976	931	0	258	82	228	78	97	57	1	76	124	260	78	335	132	231	395	509	422	52	92	8	159
ABCB8	4216	2811	1750	1920	2673	2268	2398	2398	744	818	1816	1319	1201	760	1062	379	707	5	12	23	371	457	476	446
ABCB9	3641	363	48	80	67	68	107	78	134	101	112	94	143	108	214	146	208	11	12	9	139	190	207	401
ABCC10	5219	2591	97	375	82	229	405	634	233	5	372	180	3	96	243	60	108	1	4	1	31	52	7	8
ABCC11	5248	0	0	83	0	163	37	88	0	0	25	38	48	16	48	30	48	99	117	108	58	4	0	0
ABCC12	4849	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	38
ABCC1	6267	3	527	270	1250	495	1361	1042	1094	5198	2894	1569	1325	560	2893	201	575	45	81	77	144	321	1225	1959
ABCC2	9964	180	696	823	384	381	316	742	1029	1014	861	1127	922	1367	2120	614	794	1159	1087	870	262	320	419	143
ABCC3	5111	0	170	46	4	114	73	0	0	69	76	16	12	1	60	19	60	8	21	23	4	28	100	134
ABCC5	11089	731	34	6	102	111	176	29	30	242	165	102	344	158	219	57	141	70	89	43	18	50	37	57
ABCC6	5263	0	0	0	0	218	0	4	0	0	4	11	13	0	0	0	8	0	0	2	0	4	0	0
ABCC8	5062	468	84	146	0	55	153	0	153	0	47	168	34	40	57	73	104	11	30	14	66	149	125	1
ABCC9	9338	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
ABCD1	3534	0	2	1	0	72	19	1	18	0	1	6	0	47	13	1	25	0	0	0	0	2	1	0
ABCD2	1359	0	0	126	1	0	0	9	0	0	1	0	0	2	21	0	23	108	54	31	20	7	1	0
ABCD3	3455	166	546	293	493	511	497	577	465	664	418	418	499	554	602	212	337	1152	1318	1180	387	694	467	768
ABCD4	3453	2	118	427	200	425	198	387	139	1229	637	1007	1708	832	1453	635	729	22	28	26	168	200	52	271
ABCE1	3844	188	345	191	373	114	231	61	96	29	109	37	204	68	172	145	113	2308	1982	1489	52	99	193	245
ABCF1	3506	5	221	450	136	514	279	304	344	853	253	570	610	760	874	413	433	361	491	527	238	208	473	249
ABCF2	2698	504	8213	7555	6309	4855	5229	6616	8584	6578	13277	12995	14991	14846	20477	18204	22852	1944	2065	1436	3502	4150	4133	5438
ABCF3	3083	159	3405	3166	5296	3148	5905	4242	9304	4746	7258	6334	6110	4334	5512	2877	3608	94	164	98	300	690	1856	1592
ABCG1	7524	0	0	20	10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0
ABCG2	4179	0	112	218	54	137	56	134	266	10	254	405	644	622	666	501	547	393	592	466	102	152	106	41
ABCG4	3768	0	0	0	0	24	125	51	49	19	83	17	58	0	120	3	41	0	11	4	3	17	0	1
ABCG5	2091	0	306	673	351	203	301	479	618	44	604	612	735	678	984	436	758	275	287	296	158	155	215	111
ABCG8	2791	56	1801	1821	1914	1407	2239	1659	4588	2878	3574	3067	3652	3679	4660	2616	3919	63	135	79	1050	1911	1212	1102
ABHD10	1410	1035	365	715	470	81	275	233	134	48	180	85	147	90	82	98	68	2440	2272	2107	40	48	248	201
ABHD11	1145	18620	8860	9648	13678	13365	12128	14169	13910	9828	9618	8411	7998	8722	6432	6929	7990	748	844	708	6988	9667	3274	4251
ABHD1	1412	0	0	106	84	0	8	0	31	107	11	26	27	41	19	16	20	4	18	6	19	40	0	30
ABHD12	3983	31	792	1153	815	1031	802	1536	567	1890	859	780	475	783	782	606	846	38	71	79	485	546	495	457
ABHD12B	2108	0	0	0	0	0	1	0	0	0	11	23	6	10	0	42	8	12	24	13	5	9	0	1
ABHD13	5276	0	0	0	0	18	2	4	6	11	1	0	0	1	5	0	5	3	10	9	1	13	15	3
ABHD14A	1919	1735	370	568	606	941	416	629	339	0	371	265	319	255	112	204	170	15	20	17	328	167	19	0
ABHD14B	2627	0	0	0	0	109	79	0	15	0	46	37	30	0	25	78	15	7	6	13	29	7	69	0
ABHD15	1464	0	15	0	22	0	2	0	12	12	3	15	11	0	9	3	11	0	1	0	4	10	28	21
ABHD16A	2079	2	2252	1743	3722	1206	2141	1408	3021	1536	1871	1491	1743	1646	1617	1550	1372	131	114	122	853	1047	834	1155
ABHD16B	1685	0	18	34	215	141	216	106	49	187	186	177	94	1	76	42	66	0	1	0	40	36	5	87
ABHD17A	1477	4472	5553	7867	5188	12872	7193	19691	4373	23040	5242	8129	4754	6146	9892	8397	14690	246	452	289	8360	13065	9085	7314
ABHD17B	2636	2	95	34	20	18	54	9	0	13	52	135	125	68	257	44	134	377	475	451	24	41	231	253
ABHD17C	2290	0	166	517	319	135	350	196	57	0	137	201	120	102	243	132	201	202	305	355	100	157	329	332
ABHD18	3595	1688	730	481	529	472	321	195	392	200	355	268	254	282	303	212	225	2548	2683	2067	211	210	461	291
ABHD2	7919	3	271	178	293	96	171	206	351	116	172	123	74	312	166	267	235	26	38	40	361	410	177	372
ABHD3	1916	0	141	303	325	71	72	277	41	0	57	69	39	41	103	55	56	672	714	598	86	91	194	32
ABHD4	2559	2592	9617	10989	13684	10171	10986	12366	13995	8805	11559	10750	12039	9922	8320	8109	7766	201	319	251	2251	2788	2992	4600
ABHD5	2959	0	50	56	106	51	31	15	183	190	121	90	191	84	215	111	163	94	94	124	39	76	21	16
ABHD6	2179	0	508	555	463	610	630	580	554	730	1051	856	784	1290	1353	955	1406	97	189	97	486	615	166	412
ABHD8	1910	685	375	448	690	396	523	1380	107	1442	497	679	535	381	572	447	424	7	2	2	104	152	293	153
ABI1	4590	137	467	781	601	205	436	270	130	519	622	308	900	492	1582	568	1111	1253	2144	1919	290	475	455	413
ABI2	6297	156	166	164	238	329	179	208	67	500	360	450	532	1049	951	1009	1046	211	323	378	362	513	170	262
ABI3	1389	0	0	0	40	32	42	0	0	0	4	16	16	24	25	3	9	0	0	1	3	0	0	26
ABI3BP	5967	0	324	152	462	106	283	166	233	20	431	45	288	191	244	86	113	1202	1249	1114	87	138	204	121
ABL1	5757	375	169	213	189	402	170	1276	142	5467	578	741	620	963	1700	210	554	170	334	275	121	299	778	1070
ABL2	13773	0	0	12	10	3	41	90	96	129	34	33	62	85	104	19	68	41	56	76	17	48	11	7
ABLIM1	8479	994	1224	1753	1611	1686	1720	1526	1626	2436	1818	2047	2364	1677	1613	865	1048	1005	1240	1272	1588	1804	1802	1970
ABLIM2	5347	1	48	11	1	256	37	141	49	230	41	111	17	81	25	127	66	0	2	3	84	56	241	0
ABLIM3	4656	3	1307	537	967	202	1448	2066	5415	1073	2516	1633	1333	3869	5553	2635	7460	259	299	160	2133	4273	1153	1335
ABO	2572	0	0	0	0	1	0	1	4	0	4	0	2	4	0	0	7	0	0	0	0	0	0	0
ABR	8010	127	787	857	518	730	1750	1200	1794	2321	2638	2011	1896	2320	4159	1850	3477	109	192	194	960	1023	885	554
ABRA	1671	0	0	0	0	0	0	0	0	0	0	26	0	5	5	0	4	2	7	3	0	0	0	0
ABRACL	842	0	70	75	39	52	28	57	42	38	43	95	148	140	65	131	152	144	201	278	121	152	42	15
ABRAXAS1	2629	912	290	584	170	275	207	157	119	341	428	381	436	449	870	317	324	2367	2494	2257	81	69	286	41
ABRAXAS2	2954	0	503	611	606	319	253	392	186	391	388	557	1140	927	1443	887	792	1636	1539	1119	147	135	512	56
ABT1	2201	6	350	710	1081	440	635	1027	410	609	693	785	750	885	881	614	705	66	77	113	294	172	340	92
ABTB1	2351	0	107	503	155	212	352	977	134	0	128	186	183	84	111	75	108	4	16	1	45	32	262	2
ABTB2	5224	786	1060	986	915	1430	1154	1534	795	1823	1637	1111	1007	606	820	714	760	10	38	61	203	407	182	236
ACAA1	1618	4238	2936	6589	4553	4641	3970	7266	1946	3623	2990	3560	3061	2079	1979	1947	1901	40	79	54	765	1046	995	725
ACAA2	1581	1	176	306	179	387	219	299	271	182	329	597	929	1166	906	1445	1231	216	254	217	434	262	15	66
ACACA	10293	309	175	770	751	421	501	524	238	469	1069	978	998	691	2087	692	845	179	225	165	282	347	393	379
ACACB	10457	576	282	104	399	256	222	625	560	1474	679	387	572	330	630	308	398	32	20	26	234	167	132	569
ACAD10	6212	0	0	3	95	0	42	62	40	0	65	41	77	16	67	42	55	5	23	9	0	26	3	28
ACAD11	3499	0	12	72	134	91	116	77	91	225	43	12	79	65	141	25	44	484	520	331	34	20	221	94
ACAD8	1700	0	138	50	300	223	225	365	196	229	158	177	89	246	173	82	227	18	49	31	85	36	130	103
ACAD9	2793	0	1053	932	587	1135	1653	1601	1927	1251	1240	1030	693	701	1117	604	1211	24	36	37	218	327	361	580
ACADL	2846	0	0	0	0	12	0	29	9	0	0	0	0	0	0	0	6	27	26	9	0	0	0	0
ACADM	2235	7	62	158	67	44	3	36	5	94	23	58	25	24	24	10	16	558	421	501	14	8	0	11
ACADS	2005	3012	999	1633	1730	1566	1653	2788	663	1677	1357	1461	1074	979	1254	1175	1219	22	28	49	626	782	578	823
ACADSB	4389	0	266	511	258	299	189	107	178	4	220	270	256	254	414	215	231	1189	1140	1104	80	79	36	68
ACADVL	2246	1	1710	1274	1572	1234	1973	1389	2049	2068	2206	2006	2204	2595	2137	1625	1722	39	69	39	313	396	539	562
ACAN	8380	0	124	1	72	0	0	73	2	0	23	40	34	15	8	6	26	0	1	3	15	15	10	5
ACAP1	5407	340	237	278	324	265	106	509	264	800	130	301	303	319	246	565	358	16	30	32	441	280	420	345
ACAP2	1593	620	228	450	247	205	153	232	105	61	176	112	252	189	248	136	130	1230	1222	887	34	45	133	149
ACAP3	5028	1	90	59	181	469	272	196	68	406	133	165	267	63	100	115	173	4	4	3	75	101	9	143
ACAT1	1549	0	143	217	100	92	2	29	10	51	118	93	80	106	156	136	105	592	581	585	74	61	60	134
ACAT2	1664	1232	811	1592	1227	1025	1352	1487	2681	2243	2534	2885	3117	3268	3768	3289	4065	1170	1628	1090	1413	1730	1268	899
ACBD3	3898	2	12	74	29	20	30	23	12	308	40	37	25	40	115	22	56	875	1373	1327	8	44	43	76
ACBD4	4030	865	815	1245	1533	1294	1187	1237	731	978	1008	945	1048	955	763	820	931	4	19	13	527	472	470	448
ACBD5	3909	0	127	34	2	89	61	6	3	84	3	7	0	21	51	29	21	373	367	368	25	6	96	10
ACBD6	1492	727	153	240	153	289	143	261	74	389	104	179	166	173	95	117	95	19	47	33	171	279	520	240
ACBD7	1694	0	40	37	63	0	0	2	0	0	7	17	27	25	50	17	20	42	49	45	7	10	0	0
ACCS	2403	650	253	117	140	106	158	126	69	57	82	79	136	120	115	89	83	3	10	6	195	117	249	146
ACCSL	2414	22778	88771	80890	53543	30393	45694	81263	46050	35529	36831	26702	18981	34174	38373	25075	37012	65971	68315	50341	17247	24504	71323	58323
ACD	1778	10406	8206	9071	12694	10946	11185	11888	7894	8098	8574	9262	8747	5540	6853	7899	8079	141	247	146	6248	7951	2823	3005
ACE2	4061	0	0	0	0	0	7	0	0	0	0	0	2	0	5	0	1	7	8	7	0	0	0	0
ACE3	2498	0	0	0	30	20	28	0	22	0	39	7	0	46	59	24	51	2	6	3	12	18	0	0
ACE	4671	407	150	11	11	0	147	12	28	10	17	11	10	177	56	27	88	2	2	1	54	39	64	68
ACER1	3051	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
ACER2	8643	0	0	16	0	0	0	0	112	0	28	21	18	19	18	4	6	1	5	3	3	12	0	0
ACER3	2926	0	58	110	79	70	66	222	134	61	296	106	139	106	255	104	158	227	315	244	58	64	26	67
ACHE	4224	0	7	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0
ACIN1	5096	5	104	182	170	140	121	63	119	11	78	104	109	93	88	92	133	433	385	363	131	100	201	158
ACKR1	1014	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	9839	0	0	0	41	76	86	9	6	0	25	3	25	19	36	13	28	3	5	2	24	11	53	14
ACKR3	1730	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	51
ACKR4	3365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACLY	4446	1	2715	4037	3510	2228	3587	2505	3282	4893	7518	4947	7034	3335	14315	1991	4447	546	915	733	504	1055	2853	2175
ACMSD	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ACO1	3948	135	291	429	564	451	445	472	567	662	645	871	618	1133	1514	970	1428	91	156	131	625	891	173	272
ACO2	2744	7	1699	1011	2234	1458	1920	2879	3372	3935	3430	3970	2844	3907	3864	3523	4421	42	49	50	847	724	1702	865
ACOD1	3020	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	1	0	2	0	0	0	0
ACOT11	2619	501	13	84	57	0	150	112	37	1	41	63	67	26	49	29	33	1	2	7	43	56	172	22
ACOT12	1794	0	11	8	25	16	23	2	6	24	4	5	3	4	9	13	8	7	8	6	28	25	16	103
ACOT13	1763	0	58	32	78	0	25	47	4	0	10	30	17	16	40	20	25	39	101	83	17	21	0	1
ACOT2	5967	793	548	959	988	830	790	966	858	822	645	791	622	764	450	740	660	203	213	239	823	1019	568	463
ACOT4	1611	0	0	17	8	0	5	8	0	0	0	0	0	6	1	14	9	2	2	2	0	0	2	0
ACOT6	1990	378	0	1	38	0	49	14	6	3	36	7	20	40	33	17	52	0	2	4	13	34	0	15
ACOT7	3132	3	974	1330	1020	1618	1376	2344	629	2814	1140	1812	924	1999	1288	2693	2110	70	86	77	2138	2120	1072	678
ACOT8	1963	672	909	1365	1475	1783	1327	2274	1196	374	952	1130	677	1071	610	632	473	26	25	30	540	722	442	244
ACOT9	1655	2	1028	2324	701	535	739	689	1019	917	1231	1709	2531	1889	2381	1799	1808	3151	2996	2939	288	261	928	863
ACOX1	6337	0	6	13	2	52	29	41	36	261	90	185	131	297	269	83	218	138	251	185	15	66	128	49
ACOX2	3208	0	0	0	0	0	0	12	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0
ACOX3	4221	0	25	0	19	86	19	271	0	5	49	108	9	10	66	1	33	3	2	1	9	24	42	0
ACOXL	4504	1	1	101	10	146	114	89	81	0	82	68	53	155	108	135	151	36	52	48	55	55	93	142
ACP1	1345	717	104	671	371	210	123	554	269	544	602	827	817	991	1125	1241	1247	546	750	789	605	580	175	178
ACP2	5886	0	95	67	114	113	133	47	26	1	122	108	38	41	42	29	50	1	6	2	25	54	13	191
ACP4	1362	0	35	20	25	0	9	12	65	2	17	11	10	27	22	9	20	0	4	2	23	45	3	11
ACP5	1962	0	78	75	150	0	128	211	124	0	68	100	105	26	66	96	81	3	3	11	0	70	0	45
ACP6	1813	1269	3439	4268	3945	3264	4491	7793	12351	7087	7517	8275	5646	12642	9085	9666	11021	624	620	489	4598	4912	3211	2703
ACP7	1317	0	0	42	0	59	36	0	23	0	16	82	36	43	37	47	11	0	0	0	35	0	0	2
ACPP	3337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	6	8	5	1	0	0
ACR	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	1893	0	0	3	0	0	0	0	0	0	6	4	0	0	0	0	1	0	0	0	0	0	0	0
ACRV1	1171	293	220	133	196	160	201	261	315	80	203	203	244	216	191	336	367	237	201	269	1067	1564	728	860
ACSBG1	2900	0	0	0	0	0	0	0	3	0	93	0	0	53	24	17	15	3	10	0	7	16	0	0
ACSBG2	2951	0	120	156	32	96	72	83	78	293	93	153	92	185	83	181	61	2	11	3	27	29	0	2
ACSF2	2011	0	0	9	90	0	17	21	17	0	9	1	4	0	7	0	8	6	8	3	0	0	19	0
ACSF3	2438	0	8	170	175	240	446	414	223	494	287	147	236	22	118	98	105	0	6	1	21	91	148	30
ACSL1	4824	0	60	1	235	0	16	25	15	10	114	4	122	48	224	16	38	41	39	30	14	22	63	2
ACSL3	4381	615	1382	2868	418	1128	753	745	253	377	1062	1191	1177	847	1115	459	492	2204	2606	2156	166	130	1016	160
ACSL4	5496	222	97	191	266	29	37	40	9	0	74	41	9	34	86	67	44	645	1131	581	9	20	37	61
ACSL5	2891	0	0	620	340	13	54	105	209	237	521	581	867	699	1150	546	768	114	163	108	139	99	1	53
ACSL6	6223	0	146	166	36	177	90	99	93	0	29	222	182	203	133	156	78	10	35	35	21	31	1	5
ACSM1	2419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ACSM2B	3089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	2144	0	9	3	0	0	1	0	0	0	0	0	5	0	0	0	0	62	65	57	0	0	2	12
ACSM4	5942	0	0	1	0	0	0	0	0	0	0	0	0	0	6	1	8	5	3	4	0	7	0	0
ACSM5	2946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	3458	0	34	0	0	298	0	84	286	0	65	0	132	54	54	0	28	0	3	0	0	0	0	0
ACSS2	2993	0	3	260	4	106	53	35	51	18	150	272	60	102	164	51	114	5	14	15	35	31	0	49
ACSS3	4559	0	74	48	0	110	0	64	45	0	46	31	100	57	53	32	26	51	41	51	23	7	8	10
ACTA1	1623	0	0	0	1	0	0	0	0	0	6	0	0	0	0	1	2	0	0	0	0	0	0	0
ACTA2	2059	0	366	623	330	271	160	51	425	456	346	398	547	414	435	717	573	99	95	109	567	889	224	194
ACTB	1832	16359	15380	11777	15397	11248	16097	13039	22597	14462	15476	13233	9474	7820	18569	14110	20877	3170	3850	3637	7844	9447	12163	11787
ACTBL2	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	1391	0	0	39	0	0	0	9	51	0	0	15	0	1	9	14	7	1	1	6	0	0	0	0
ACTG1	1956	534	8641	4964	9241	6606	8907	8447	16853	12459	10700	10881	6558	11205	10903	12610	14016	1588	2082	1864	8398	9704	3863	4115
ACTG2	1287	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	3	31	6	20	3	0	0
ACTL6A	1920	0	274	550	202	129	326	142	184	169	382	121	316	264	328	262	228	1297	1114	891	111	212	170	182
ACTL6B	1529	1	42	66	43	0	58	39	0	0	5	0	13	0	7	32	15	0	1	0	1	1	4	0
ACTL7A	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	1407	257	342	334	279	291	192	223	244	277	148	254	148	387	130	134	219	7	40	15	236	341	617	526
ACTL8	1855	0	1277	883	1216	1154	1110	896	358	526	758	671	487	423	464	361	537	3	6	3	99	237	79	302
ACTL9	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	3853	2375	3451	2739	2666	3578	3594	2731	399	2502	4477	6547	7060	7294	23339	7494	16590	393	534	339	1072	1651	1023	2265
ACTN2	2925	0	9	61	19	9	3	0	26	67	27	40	24	69	33	92	61	6	7	8	55	42	131	33
ACTN3	2996	0	3	0	0	0	0	1	0	0	12	0	57	0	0	12	4	0	0	0	0	7	0	0
ACTN4	4623	82	154	154	46	5	93	101	76	408	191	86	125	210	554	91	568	38	58	43	40	167	224	845
ACTR10	1553	0	192	250	246	172	161	213	172	27	178	88	354	443	461	215	294	2997	3047	2650	131	124	270	93
ACTR1A	2909	9	5610	5203	8382	5889	6922	8568	10800	6529	9538	8143	8501	3283	7381	4656	5365	94	137	139	719	1206	2080	3641
ACTR1B	2590	0	0	16	0	19	18	79	24	21	15	26	19	1	20	11	6	0	3	1	21	24	21	6
ACTR2	2751	0	45	54	8	2	22	53	2	0	82	62	58	57	164	48	45	407	643	418	12	12	99	55
ACTR3	2506	1	36	39	0	64	2	1	0	9	31	5	29	28	32	15	28	753	974	877	1	6	107	37
ACTR3B	5207	0	32	87	35	15	111	69	75	115	37	2	37	77	85	56	81	64	53	44	89	76	52	14
ACTR5	3182	0	73	100	0	0	53	4	9	0	178	31	37	110	42	4	39	1	7	8	0	12	7	23
ACTR6	1868	0	82	143	31	117	38	120	42	18	106	129	163	301	312	134	168	1895	1942	1977	8	31	15	29
ACTR8	2196	0	0	6	0	28	0	1	40	385	5	46	20	77	49	25	70	204	224	251	22	25	28	18
ACTRT2	1416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	2438	0	15	19	38	39	22	19	4	38	19	61	56	102	50	143	43	17	20	20	15	30	20	53
ACVR1	3087	0	429	603	251	248	564	318	260	389	461	334	240	291	433	252	342	733	829	922	65	90	16	465
ACVR1B	4988	1	65	110	255	265	131	62	38	233	97	56	311	36	92	6	82	64	89	108	42	84	183	220
ACVR1C	1714	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR2A	4405	0	125	44	17	75	78	25	34	0	75	68	58	43	128	53	69	67	58	68	27	42	43	130
ACVR2B	11740	0	90	186	67	90	171	396	353	293	308	202	403	121	362	111	444	43	49	46	57	129	327	122
ACVRL1	2805	811	34	75	81	56	53	190	63	43	87	94	71	96	87	79	98	5	4	3	95	106	52	173
ACY1	1667	1382	886	1043	612	1249	604	822	727	901	459	807	272	516	455	727	528	16	14	19	295	500	158	292
ACYP1	681	195	81	111	100	108	52	209	114	168	77	141	149	172	137	116	90	389	566	629	91	176	71	94
